station_id,station_name,district,address,latitude,longitude,x_meter,y_meter,cluster_id,cluster_label,distance_to_centroid_m,rental_count,meaningful_coordinate_movement,max_distance_m,active_month_count,first_active_month,last_active_month
1130,화곡본동시장 버스정류장,강서구,서울특별시 강서구 화곡로 196,37.54275131,126.84262085,-13184.267567076053,-552.6051937759241,0,cluster_0,5200.064627066629,15806,False,0.0044083166089165,24,2023-01,2024-12
1132,등촌역 7번출구,강서구,서울특별시 강서구 공항대로 지하 529,37.55110931,126.8637085,-11325.170713115444,376.76200311947537,0,cluster_0,3975.1918765666437,54525,False,0.0,24,2023-01,2024-12
1135,강서구의회,강서구,서울특별시 강서구 등촌로 185,37.54653168,126.86254883,-11427.407749894832,-132.24722893680263,0,cluster_0,3765.180067763006,61148,False,0.0026448544956749,24,2023-01,2024-12
1136,등촌2파출소,강서구,서울특별시 강서구 등촌로 167,37.54478836,126.86199951,-11475.836051948478,-326.0955684546184,0,cluster_0,3709.5732056590437,21559,False,0.0008816387827733,24,2023-01,2024-12
1137,등촌2동주민센터,강서구,서울특별시 강서구 등촌로 143,37.54126358,126.8633728,-11354.766178416217,-718.0332219931436,0,cluster_0,3427.035272090922,12558,False,0.0,24,2023-01,2024-12
1139,용문사 버스정류장,강서구,서울특별시 강서구 등촌로 95,37.53852081,126.86343384,-11349.384864142266,-1023.0153309454734,0,cluster_0,3309.9919442392784,25170,False,0.0035268538428217,24,2023-01,2024-12
114,홍대입구역 8번출구 앞,마포구,서울특별시 마포구 양화로18길 3,37.55706024,126.92442322,-5972.533271713362,1038.4752279363227,0,cluster_0,3868.0637501296656,53043,False,0.0017629872616171,24,2023-01,2024-12
1140,목동사거리 버스정류장,강서구,서울특별시 강서구 등촌로 19,37.53139877,126.86360931,-11333.915348810613,-1814.950046304825,0,cluster_0,3125.4059431664655,58876,False,0.0008817993525727,24,2023-01,2024-12
1141,곰달래 문화복지센터 A,강서구,서울특별시 강서구 강서로5길 50,37.52906036,126.84848022,-12667.702832115598,-2074.9693747197934,0,cluster_0,4445.543744810422,43028,False,0.0017636517530281,24,2023-01,2024-12
1145,곰달래 문화복지센터 B,강서구,서울특별시 강서구 강서로5길 50,37.52891922,126.8480835,-12702.677848482124,-2090.663426667093,0,cluster_0,4480.429454604719,19190,False,0.0,24,2023-01,2024-12
1148,볏골공원,강서구,서울특별시 강서구 까치산로4길 22,37.54146957,126.84477997,-12993.918561884539,-695.1281790537148,0,cluster_0,4976.427405952566,31315,False,0.0026450340915574,24,2023-01,2024-12
1149,신방화역환승주차장,강서구,서울특별시 강서구 마곡서1로 111-12,37.56728363,126.81827545,-15330.569148733615,2175.2643290450374,0,cluster_0,8299.061785500768,105473,False,0.0044068656302779,24,2023-01,2024-12
115,마스타 빌딩 앞,서대문구,서울특별시 서대문구 연희로 7,37.55893326,126.92711639,-5735.102174640788,1246.7455494405178,0,cluster_0,4176.199068299812,24225,False,0.0008814737160009,24,2023-01,2024-12
1150,송정역 1번출구,강서구,서울특별시 강서구 공항대로3길 18,37.56153107,126.81069946,-15998.471886813595,1535.6088418268303,0,cluster_0,8587.507929625024,74453,False,0.0035257652016573,24,2023-01,2024-12
1151,마곡역1번출구,강서구,서울특별시 강서구 마곡동 727-716,37.56020737,126.82414246,-14813.330867884817,1388.4201174274287,0,cluster_0,7461.0418595086285,95491,False,0.0035258278428036,24,2023-01,2024-12
1152,마곡역교차로,강서구,서울특별시 강서구 마곡동 728-168,37.55831146,126.82652283,-14603.476361656187,1177.6045440520084,0,cluster_0,7177.401298202667,118131,False,0.0026444364872683,24,2023-01,2024-12
1153,"발산역 1번, 9번 인근 대여소",강서구,서울특별시 강서구 공항대로 281,37.55894852,126.83717346,-13664.511957101493,1248.442384020863,0,cluster_0,6394.046345017665,216509,False,0.0035258874133226,24,2023-01,2024-12
1155,기쁜우리복지관,강서구,서울특별시 강서구 가양동 1458-15,37.56925964,126.84841919,-12673.083264785448,2394.9866160435477,0,cluster_0,6331.418850539158,60097,False,0.0008813492960572,24,2023-01,2024-12
1157,강서구청,강서구,서울특별시 강서구 화곡로 302,37.55065918,126.84976959,-12554.03138410816,326.70983078834024,0,cluster_0,4969.109630894803,85500,False,0.0008815715907845,24,2023-01,2024-12
