datetime,cluster_id,cluster_label,rental_count,year_month
2023-01-04 03:00:00,0,cluster_0,139,2023-01
2023-01-04 03:00:00,1,cluster_1,110,2023-01
2023-01-04 03:00:00,2,cluster_2,100,2023-01
2023-01-04 04:00:00,0,cluster_0,147,2023-01
2023-01-04 04:00:00,1,cluster_1,127,2023-01
2023-01-04 04:00:00,2,cluster_2,88,2023-01
2023-01-04 05:00:00,0,cluster_0,378,2023-01
2023-01-04 05:00:00,1,cluster_1,184,2023-01
2023-01-04 05:00:00,2,cluster_2,180,2023-01
2023-01-04 06:00:00,0,cluster_0,808,2023-01
2023-01-04 06:00:00,1,cluster_1,340,2023-01
2023-01-04 06:00:00,2,cluster_2,390,2023-01
2023-01-04 07:00:00,0,cluster_0,1975,2023-01
2023-01-04 07:00:00,1,cluster_1,751,2023-01
2023-01-04 07:00:00,2,cluster_2,868,2023-01
2023-01-04 08:00:00,0,cluster_0,3857,2023-01
2023-01-04 08:00:00,1,cluster_1,1323,2023-01
2023-01-04 08:00:00,2,cluster_2,1797,2023-01
2023-01-04 09:00:00,0,cluster_0,1687,2023-01
2023-01-04 09:00:00,1,cluster_1,765,2023-01
2023-01-04 09:00:00,2,cluster_2,1031,2023-01
2023-01-04 10:00:00,0,cluster_0,1023,2023-01
2023-01-04 10:00:00,1,cluster_1,601,2023-01
2023-01-04 10:00:00,2,cluster_2,577,2023-01
2023-01-04 11:00:00,0,cluster_0,1258,2023-01
2023-01-04 11:00:00,1,cluster_1,710,2023-01
2023-01-04 11:00:00,2,cluster_2,669,2023-01
2023-01-04 12:00:00,0,cluster_0,1288,2023-01
2023-01-04 12:00:00,1,cluster_1,799,2023-01
2023-01-04 12:00:00,2,cluster_2,775,2023-01
2023-01-04 13:00:00,0,cluster_0,1365,2023-01
2023-01-04 13:00:00,1,cluster_1,789,2023-01
2023-01-04 13:00:00,2,cluster_2,733,2023-01
2023-01-04 14:00:00,0,cluster_0,1389,2023-01
2023-01-04 14:00:00,1,cluster_1,814,2023-01
2023-01-04 14:00:00,2,cluster_2,695,2023-01
2023-01-04 15:00:00,0,cluster_0,1478,2023-01
2023-01-04 15:00:00,1,cluster_1,851,2023-01
2023-01-04 15:00:00,2,cluster_2,789,2023-01
2023-01-04 16:00:00,0,cluster_0,1746,2023-01
2023-01-04 16:00:00,1,cluster_1,983,2023-01
2023-01-04 16:00:00,2,cluster_2,928,2023-01
2023-01-04 17:00:00,0,cluster_0,2755,2023-01
2023-01-04 17:00:00,1,cluster_1,1252,2023-01
2023-01-04 17:00:00,2,cluster_2,1369,2023-01
2023-01-04 18:00:00,0,cluster_0,3678,2023-01
2023-01-04 18:00:00,1,cluster_1,1491,2023-01
2023-01-04 18:00:00,2,cluster_2,1951,2023-01
2023-01-04 19:00:00,0,cluster_0,2158,2023-01
2023-01-04 19:00:00,1,cluster_1,1002,2023-01
2023-01-04 19:00:00,2,cluster_2,1232,2023-01
2023-01-04 20:00:00,0,cluster_0,1713,2023-01
2023-01-04 20:00:00,1,cluster_1,780,2023-01
2023-01-04 20:00:00,2,cluster_2,988,2023-01
2023-01-04 21:00:00,0,cluster_0,1486,2023-01
2023-01-04 21:00:00,1,cluster_1,693,2023-01
2023-01-04 21:00:00,2,cluster_2,814,2023-01
2023-01-04 22:00:00,0,cluster_0,1240,2023-01
2023-01-04 22:00:00,1,cluster_1,631,2023-01
2023-01-04 22:00:00,2,cluster_2,663,2023-01
2023-01-04 23:00:00,0,cluster_0,748,2023-01
2023-01-04 23:00:00,1,cluster_1,406,2023-01
2023-01-04 23:00:00,2,cluster_2,411,2023-01
2023-01-05 00:00:00,0,cluster_0,619,2023-01
2023-01-05 00:00:00,1,cluster_1,377,2023-01
2023-01-05 00:00:00,2,cluster_2,387,2023-01
2023-01-05 01:00:00,0,cluster_0,450,2023-01
2023-01-05 01:00:00,1,cluster_1,268,2023-01
2023-01-05 01:00:00,2,cluster_2,311,2023-01
2023-01-05 02:00:00,0,cluster_0,251,2023-01
2023-01-05 02:00:00,1,cluster_1,181,2023-01
2023-01-05 02:00:00,2,cluster_2,156,2023-01
2023-01-05 03:00:00,0,cluster_0,174,2023-01
